Course Name,Professor,Rating,Difficulty,Total Reviews,Spring 2021,Fall 2021
CSE 101LLB - Computers A General Intro,Winikus,,,,?,?
CSE 111LLB - Intro To Quantitative Analysis,Winikus,,,,?,?
CSE 111LLB - Intro To Quantitative Analysis,Hughes,,,,?,
CSE 115LLR - Computer Science I,Hertz,,,,?,
CSE 115LLR - Computer Science I,Alphonce,,,,?,?
CSE 116LLB - Computer Science Ii,Hartloff,,,,?,?
,Akhter,,,,?,
CSE 191LR - Intro Discrete Structures,Akhter,,,,?,
,Knepley,,,,?,
,Meng,,,,?,?
CSE 220LLB - Systems Programming,Blanton,,,,?,
CSE 241LLB - Digital Systems,Winikus,,,,?,
CSE 250LR - Data Structures,Hughes,,,,?,
CSE 305LR - Programming Languages,Ziarek,,,,?,
CSE 306LLB - Software Quality In Practice,Alphonce,,,,?,
CSE 312LR - Web Applications,Hartloff,,,,?,
CSE 331LR - Algo And Complexity,Sariyuce,,,,?,
CSE 341LR - Computer Organization,Ghanei,,,,?,
CSE 370LR - Applied Hci,Hunt,,,,?,
CSE 379LLB - Intro To Microproccessors,Schindler,,,,?,
CSE 396LR - Intro Theory Of Computatn,Regan,,,,?,
CSE 404LR - Software Project Management,Hunt,,,,?,
CSE 410LEC - Special Topics-Advanced Blockchain Concepts,Ramamurthy,,,,?,
CSE 410LEC - Special Topics-Computer Security,Blanton,,,,?,
CSE 410LEC - Special Topics-Machine Learning And Society,Joseph,,,,?,
CSE 410LEC - Special Topics-Introduction To Matlab,Miller,,,,?,
CSE 410LEC - Special Topics-Iot And Cybersecurity,Xu,,,,?,
CSE 410LEC - Special Topics-Computational Investment 2,Liu,,,,?,
CSE 421LEC - Operating Systems,Ghanei,,,,?,
CSE 431LEC - Algorithms Anal & Dsgn 1,Li,,,,?,
CSE 432LEC - Randomized Algorithms,Hughes,,,,?,
CSE 442LR - Software Eng Concepts,Hertz,,,,?,
CSE 443LEC - Compilers,Alphonce,,,,?,
CSE 446LEC - Reinforcement Learning,Vereshchaka,,,,?,
CSE 453LEC - Hardware/software Integrated,Schindler,,,,?,
CSE 455LEC - Intro To Pattern Recognition,Dong,,,,?,
CSE 460LEC - Data Models And Query Language,Das Bhattacharjee,,,,?,
CSE 462LEC - Database Systems,Kennedy,,,,?,
CSE 467LEC - Computational Linguistics,Chaves,,,,?,
CSE 468LEC - Robotics Algorithms,Ghanei,,,,?,
CSE 473LEC - Comp Vision & Image Proc,Doermann,,,,?,
CSE 474LEC - Intro Machine Learning,Chandola,,,,?,
,Das Bhattacharjee,,,,?,
CSE 486LEC - Distributed Systems,Blanton,,,,?,
CSE 487LEC - Data Intensive Computing,Ramamurthy,,,,?,
CSE 489LEC - Modern Network Concepts,Mi,,,,?,
CSE 490LEC - Computer Architecture,Sridhar,,,,?,
CSE 492TUT - Undergrad Peer Mentoring,Hunt,,,,?,
CSE 493LLB - Intro Vlsi Electronics,Sridhar,,,,?,
CSE 496TUT - Internship/practicum,Kennedy,,,,?,
CSE 497TUT - Dept Honors Thesis,Hughes,,,,?,
